#chrom	start	end	name	score	strand	thickStart	thicEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
XV	346102	346997	YOR010C	.	-	346102	346997	0	1	895	346099	Q1
XIII	387189	388325	YMR056C	.	-	387189	388325	0	1	1136	387186	Q1
XVI	273173	275980	YPL147W	.	+	273173	275980	0	1	2807	273171	Q1
II	330235	331542	YBR046C	.	-	330235	331542	0	1	1307	330232	Q1
XIV	734024	735763	YNR058W	.	+	734024	735763	0	1	1739	734017	Q1
IX	241237	241814	YIL065C	.	-	241237	241814	0	1	577	241235	Q1
VII	654608	656408	YGR088W	.	+	654608	656408	0	1	1800	654602	Q1
X	644222	646499	YJR119C	.	-	644222	646499	0	1	2277	644216	Q1
VIII	6393	7626	YHL048W	.	+	6393	7626	0	1	1233	6387	Q1
II	595203	595606	YBR182C-A	.	-	595203	595606	0	1	403	595198	Q1
XVI	627857	631322	YPR030W	.	+	627857	631322	0	1	3465	627851	Q1
II	702532	704084	YBR241C	.	-	702532	704084	0	1	1552	702525	Q1
IV	1503085	1504922	YDR534C	.	-	1503085	1504922	0	1	1837	1503084	Q1
XV	22373	24348	YOL157C	.	-	22373	24348	0	1	1975	22371	Q1
II	136554	137655	YBL043W	.	+	136554	137655	0	1	1101	136553	Q1
VII	1073823	1076150	YGR289C	.	-	1073823	1076150	0	1	2327	1073822	Q1
XVI	567195	569060	YPR006C	.	-	567195	569060	0	1	1865	567190	Q1
V	182545	184307	YER014W	.	+	182545	184307	0	1	1762	182544	Q1
XV	1058029	1059390	YOR381W-A	.	+	1058029	1059390	0	1	1361	1058028	Q1
XVI	226054	227378	YPL171C	.	-	226054	227378	0	1	1324	226052	Q1
IV	74334	76712	YDL214C	.	-	74334	76712	0	1	2378	74327	Q1
VII	713657	715146	YGR110W	.	+	713657	715146	0	1	1489	713650	Q1
IV	1274551	1276417	YDR403W	.	+	1274551	1276417	0	1	1866	1274550	Q1
II	624261	624760	YBR201C-A	.	-	624261	624760	0	1	499	624255	Q1
X	220844	223466	YJL106W	.	+	220844	223466	0	1	2622	220842	Q1
XIV	605330	605699	YNL015W	.	+	605330	605699	0	1	369	605324	Q1
XV	383207	384682	YOR028C	.	-	383207	384682	0	1	1475	383204	Q1
IX	370696	373106	YIR007W	.	+	370696	373106	0	1	2410	370693	Q1
VI	174125	176480	YFR015C	.	-	174125	176480	0	1	2355	174124	Q1
XV	766735	767997	YOR228C	.	-	766735	767997	0	1	1262	766728	Q1
XII	566509	567947	YLR213C	.	-	566509	567947	0	1	1438	566504	Q1
VII	1067003	1069126	YGR287C	.	-	1067003	1069126	0	1	2123	1067002	Q1
X	500603	503545	YJR036C	.	-	500603	503545	0	1	2942	500598	Q1
IX	430346	432114	YIR039C	.	-	430346	432114	0	1	1768	430342	Q1
XII	599799	602666	YLR228C	.	-	599799	602666	0	1	2867	599794	Q1
VII	622249	624883	YGR067C	.	-	622249	624883	0	1	2634	622243	Q1
VI	182968	184260	YFR018C	.	-	182968	184260	0	1	1292	182967	Q1
III	74489	75362	YCL026C-A	.	-	74489	75362	0	1	873	74482	Q1
VIII	377924	379210	YHR139C	.	-	377924	379210	0	1	1286	377921	Q1
VII	885949	888347	YGR194C	.	-	885949	888347	0	1	2398	885941	Q1
V	567895	568981	YER188W	.	+	567895	568981	0	1	1086	567890	Q1
XVI	841214	842785	YPR157W	.	+	841214	842785	0	1	1571	841206	Q1
XV	681490	683654	YOR186W	.	+	681490	683654	0	1	2164	681484	Q1
XIV	631205	631806	YNR001W-A	.	+	631205	631806	0	1	601	631199	Q1
XII	722684	723687	YLR296W	.	+	722684	723687	0	1	1003	722677	Q1
XVI	130049	132318	YPL222W	.	+	130049	132318	0	1	2269	130048	Q1
XII	290159	292024	YLR081W	.	+	290159	292024	0	1	1865	290157	Q1
XIV	450786	452117	YNL092W	.	+	450786	452117	0	1	1331	450782	Q1
VII	413734	416098	YGL045W	.	+	413734	416098	0	1	2364	413730	Q1
X	21919	22709	YJL218W	.	+	21919	22709	0	1	790	21917	Q1
XIV	774659	776300	YNR073C	.	-	774659	776300	0	1	1641	774652	Q1
III	132090	133236	YCR010C	.	-	132090	133236	0	1	1146	132089	Q1
VII	651192	653013	YGR087C	.	-	651192	653013	0	1	1821	651186	Q1
VII	107931	110578	YGL205W	.	+	107931	110578	0	1	2647	107930	Q1
XV	986719	988797	YOR348C	.	-	986719	988797	0	1	2078	986710	Q1
III	73342	74021	YCL026C-B	.	-	73342	74021	0	1	679	73335	Q1
IX	325000	325605	YIL014C-A	.	-	325000	325605	0	1	605	324997	Q1
VI	99115	99714	YFL020C	.	-	99115	99714	0	1	599	99106	Q1
XVI	558263	560132	YPR002W	.	+	558263	560132	0	1	1869	558258	Q1
II	415907	417072	YBR085W	.	+	415907	417072	0	1	1165	415903	Q1
IV	1504956	1507627	YDR535C	.	-	1504956	1507627	0	1	2671	1504955	Q1
XVI	193597	194372	YPL187W	.	+	193597	194372	0	1	775	193596	Q1
I	118425	119591	YAL018C	.	-	118425	119591	0	1	1166	118424	Q1
XVI	455656	457022	YPL054W	.	+	455656	457022	0	1	1366	455652	Q1
XI	112937	114670	YKL178C	.	-	112937	114670	0	1	1733	112936	Q1
XII	27287	29513	YLL056C	.	-	27287	29513	0	1	2226	27285	Q1
XVI	556281	557959	YPR001W	.	+	556281	557959	0	1	1678	556276	Q1
I	42717	45073	YAL054C	.	-	42717	45073	0	1	2356	42713	Q1
VI	28206	30237	YFL052W	.	+	28206	30237	0	1	2031	28204	Q1
XV	161138	162306	YOL085W-A	.	+	161138	162306	0	1	1168	161137	Q1
XII	437441	439892	YLR149C	.	-	437441	439892	0	1	2451	437437	Q1
X	391771	392317	YJL027C	.	-	391771	392317	0	1	546	391768	Q1
XIII	675741	676845	YMR206W	.	+	675741	676845	0	1	1104	675735	Q1
XVI	584375	586163	YPR013C	.	-	584375	586163	0	1	1788	584370	Q1
XI	454216	457131	YKR009C	.	-	454216	457131	0	1	2915	454212	Q1
XVI	189045	191105	YPL189W	.	+	189045	191105	0	1	2060	189044	Q1
XV	165619	167039	YOL083W	.	+	165619	167039	0	1	1420	165618	Q1
XV	513029	514306	YOR100C	.	-	513029	514306	0	1	1277	513024	Q1
V	565558	566809	YER187W	.	+	565558	566809	0	1	1251	565553	Q1
VII	1004567	1006214	YGR256W	.	+	1004567	1006214	0	1	1647	1004566	Q1
VII	594921	595940	YGR053C	.	-	594921	595940	0	1	1019	594916	Q1
XI	631004	632832	YKR097W	.	+	631004	632832	0	1	1828	630998	Q1
XII	1059699	1060933	YLR460C	.	-	1059699	1060933	0	1	1234	1059698	Q1
XIV	135845	137849	YNL270C	.	-	135845	137849	0	1	2004	135844	Q1
XI	21907	24218	YKL217W	.	+	21907	24218	0	1	2311	21905	Q1
III	304089	305537	YCR102C	.	-	304089	305537	0	1	1448	304086	Q1
VII	945037	947138	YGR225W	.	+	945037	947138	0	1	2101	945028	Q1
IX	432510	434436	YIR041W	.	+	432510	434436	0	1	1926	432506	Q1
X	375099	375810	YJL038C	.	-	375099	375810	0	1	711	375096	Q1
IX	253412	255024	YIL054W	.	+	253412	255024	0	1	1612	253410	Q1
VI	182157	182985	YFR017C	.	-	182157	182985	0	1	828	182156	Q1
XV	1074173	1076466	YOR389W	.	+	1074173	1076466	0	1	2293	1074172	Q1
VIII	12095	12882	YHL045W	.	+	12095	12882	0	1	787	12094	Q1
VIII	11791	13291	YHL046C	.	-	11791	13291	0	1	1500	11790	Q1
IX	333694	334664	YIL011W	.	+	333694	334664	0	1	970	333691	Q1
XII	745542	746623	YLR307W	.	+	745542	746623	0	1	1081	745535	Q1
XVI	590141	591112	YPR015C	.	-	590141	591112	0	1	971	590136	Q1
II	274271	275547	YBR018C	.	-	274271	275547	0	1	1276	274269	Q1
V	175193	176090	YER011W	.	+	175193	176090	0	1	897	175192	Q1
X	708703	709744	YJR150C	.	-	708703	709744	0	1	1041	708696	Q1
X	524797	525428	YJR047C	.	-	524797	525428	0	1	631	524792	Q1
X	355994	358139	YJL045W	.	+	355994	358139	0	1	2145	355991	Q1
V	19588	21229	YEL070W	.	+	19588	21229	0	1	1641	19587	Q1
XVI	502259	503270	YPL025C	.	-	502259	503270	0	1	1011	502254	Q1
VII	985953	986836	YGR248W	.	+	985953	986836	0	1	883	985944	Q1
VII	206644	208696	YGL158W	.	+	206644	208696	0	1	2052	206642	Q1
VII	987576	989921	YGR249W	.	+	987576	989921	0	1	2345	987567	Q1
I	190148	192360	YAR035W	.	+	190148	192360	0	1	2212	190147	Q1
XIII	82257	82944	YML094W	.	+	82257	82944	0	1	687	82249	Q2
XI	153712	154463	YKL159C	.	-	153712	154463	0	1	751	153711	Q2
XIII	337744	339496	YMR033W	.	+	337744	339496	0	1	1752	337741	Q2
XV	1046174	1048024	YOR377W	.	+	1046174	1048024	0	1	1850	1046173	Q2
XII	1055057	1055752	YLR456W	.	+	1055057	1055752	0	1	695	1055056	Q2
XIV	205118	206736	YNL237W	.	+	205118	206736	0	1	1618	205116	Q2
XIV	512543	514951	YNL059C	.	-	512543	514951	0	1	2408	512538	Q2
XI	130560	131186	YKL170W	.	+	130560	131186	0	1	626	130559	Q2
XV	449428	451538	YOR066W	.	+	449428	451538	0	1	2110	449424	Q2
V	390388	394010	YER114C	.	-	390388	394010	0	1	3622	390385	Q2
VII	836010	836769	YGR169C-A	.	-	836010	836769	0	1	759	836002	Q2
VIII	117767	119575	YHR006W	.	+	117767	119575	0	1	1808	117766	Q2
VII	507949	508451	YGR008C	.	-	507949	508451	0	1	502	507944	Q2
X	518585	519277	YJR044C	.	-	518585	519277	0	1	692	518580	Q2
VIII	99130	100504	YHL004W	.	+	99130	100504	0	1	1374	99121	Q2
XVI	218566	220200	YPL175W	.	+	218566	220200	0	1	1634	218564	Q2
VIII	267517	268215	YHR081W	.	+	267517	268215	0	1	698	267515	Q2
XVI	47331	48843	YPL262W	.	+	47331	48843	0	1	1512	47327	Q2
II	583622	584687	YBR176W	.	+	583622	584687	0	1	1065	583617	Q2
II	488773	490499	YBR126C	.	-	488773	490499	0	1	1726	488769	Q2
VI	90978	93465	YFL023W	.	+	90978	93465	0	1	2487	90969	Q2
IX	272778	273872	YIL044C	.	-	272778	273872	0	1	1094	272776	Q2
XIII	863796	864385	YMR298W	.	+	863796	864385	0	1	589	863788	Q2
V	229712	232249	YER040W	.	+	229712	232249	0	1	2537	229710	Q2
II	567772	568545	YBR164C	.	-	567772	568545	0	1	773	567767	Q2
XIV	712932	713673	YNR049C	.	-	712932	713673	0	1	741	712925	Q2
IV	292757	293367	YDL092W	.	+	292757	293367	0	1	610	292755	Q2
XI	596286	596870	YKR083C	.	-	596286	596870	0	1	584	596281	Q2
IV	361508	362432	YDL053C	.	-	361508	362432	0	1	924	361505	Q2
XIV	167814	169296	YNL254C	.	-	167814	169296	0	1	1482	167813	Q2
IV	917445	921813	YDR227W	.	+	917445	921813	0	1	4368	917436	Q2
XI	171761	173947	YKL146W	.	+	171761	173947	0	1	2186	171760	Q2
XVI	272118	272952	YPL148C	.	-	272118	272952	0	1	834	272116	Q2
XV	869130	870120	YOR295W	.	+	869130	870120	0	1	990	869122	Q2
VIII	252283	255812	YHR077C	.	-	252283	255812	0	1	3529	252281	Q2
XVI	675850	676915	YPR061C	.	-	675850	676915	0	1	1065	675844	Q2
XVI	708377	709915	YPR085C	.	-	708377	709915	0	1	1538	708370	Q2
II	170551	171164	YBL026W	.	+	170551	171164	0	1	613	170550	Q2
IV	1213852	1215004	YDR368W	.	+	1213852	1215004	0	1	1152	1213851	Q2
XIV	31899	33304	YNL323W	.	+	31899	33304	0	1	1405	31896	Q2
XIII	363278	366780	YMR047C	.	-	363278	366780	0	1	3502	363275	Q2
VII	736500	738259	YGR123C	.	-	736500	738259	0	1	1759	736493	Q2
II	270216	270840	YBR016W	.	+	270216	270840	0	1	624	270214	Q2
XII	247994	248448	YLR053C	.	-	247994	248448	0	1	454	247992	Q2
XIV	246335	247171	YNL213C	.	-	246335	247171	0	1	836	246333	Q2
III	310943	313816	YCR106W	.	+	310943	313816	0	1	2873	310940	Q2
VIII	490572	491881	YHR195W	.	+	490572	491881	0	1	1309	490568	Q2
XVI	335858	337175	YPL113C	.	-	335858	337175	0	1	1317	335855	Q2
VII	694424	695149	YGR102C	.	-	694424	695149	0	1	725	694418	Q2
XII	156765	157748	YLR003C	.	-	156765	157748	0	1	983	156764	Q2
XVI	582306	582786	YPR010C-A	.	-	582306	582786	0	1	480	582301	Q2
XIII	104633	108606	YML081W	.	+	104633	108606	0	1	3973	104632	Q2
XIV	157993	160381	YNL258C	.	-	157993	160381	0	1	2388	157992	Q2
II	705256	706837	YBR243C	.	-	705256	706837	0	1	1581	705249	Q2
IV	1212804	1213657	YDR367W	.	+	1212804	1213657	0	1	853	1212803	Q2
II	284225	288054	YBR023C	.	-	284225	288054	0	1	3829	284223	Q2
XIV	48247	49294	YNL312W	.	+	48247	49294	0	1	1047	48243	Q2
XIII	327461	328684	YMR028W	.	+	327461	328684	0	1	1223	327458	Q2
III	286698	288211	YCR094W	.	+	286698	288211	0	1	1513	286696	Q2
IV	264315	265021	YDL110C	.	-	264315	265021	0	1	706	264313	Q2
XI	420063	421219	YKL011C	.	-	420063	421219	0	1	1156	420059	Q2
IV	892606	894623	YDR215C	.	-	892606	894623	0	1	2017	892598	Q2
IV	965598	967867	YDR255C	.	-	965598	967867	0	1	2269	965589	Q2
IV	378761	381465	YDL040C	.	-	378761	381465	0	1	2704	378758	Q2
III	37721	38863	YCL050C	.	-	37721	38863	0	1	1142	37718	Q2
VII	842717	843621	YGR172C	.	-	842717	843621	0	1	904	842709	Q2
XII	586316	587658	YLR224W	.	+	586316	587658	0	1	1342	586311	Q2
IV	1133036	1135468	YDR333C	.	-	1133036	1135468	0	1	2432	1133035	Q2
VII	301440	303418	YGL110C	.	-	301440	303418	0	1	1978	301437	Q2
XI	315731	316236	YKL065W-A	.	+	315731	316236	0	1	505	315728	Q2
XV	386728	388801	YOR030W	.	+	386728	388801	0	1	2073	386725	Q2
XIII	439136	442228	YMR086W	.	+	439136	442228	0	1	3092	439132	Q2
XVI	596673	599658	YPR019W	.	+	596673	599658	0	1	2985	596668	Q2
X	99533	100926	YJL171C	.	-	99533	100926	0	1	1393	99524	Q2
X	358351	361217	YJL043W	.	+	358351	361217	0	1	2866	358348	Q2
XII	81357	83814	YLL029W	.	+	81357	83814	0	1	2457	81349	Q2
VII	1037695	1038502	YGR271C-A	.	-	1037695	1038502	0	1	807	1037694	Q2
XV	491039	492966	YOR090C	.	-	491039	492966	0	1	1927	491035	Q2
XI	458810	461330	YKR010C	.	-	458810	461330	0	1	2520	458806	Q2
XIII	805186	806564	YMR270C	.	-	805186	806564	0	1	1378	805178	Q2
IV	372560	373718	YDL045C	.	-	372560	373718	0	1	1158	372557	Q2
XVI	228256	228928	YPL170W	.	+	228256	228928	0	1	672	228254	Q2
III	18648	22172	YCL061C	.	-	18648	22172	0	1	3524	18647	Q2
XIV	206882	209945	YNL236W	.	+	206882	209945	0	1	3063	206880	Q2
XIII	685806	687317	YMR209C	.	-	685806	687317	0	1	1511	685800	Q2
IV	936472	937619	YDR237W	.	+	936472	937619	0	1	1147	936463	Q2
VIII	21730	23608	YHL039W	.	+	21730	23608	0	1	1878	21728	Q2
IV	521275	521698	YDR034W-B	.	+	521275	521698	0	1	423	521270	Q2
VII	35588	36827	YGL248W	.	+	35588	36827	0	1	1239	35585	Q2
XIII	782586	784320	YMR258C	.	-	782586	784320	0	1	1734	782579	Q2
V	525918	527007	YER170W	.	+	525918	527007	0	1	1089	525913	Q2
XV	364310	367033	YOR018W	.	+	364310	367033	0	1	2723	364307	Q2
XIV	441245	442466	YNL097C	.	-	441245	442466	0	1	1221	441241	Q2
XV	65564	67363	YOL137W	.	+	65564	67363	0	1	1799	65558	Q2
II	707491	708203	YBR244W	.	+	707491	708203	0	1	712	707484	Q2
XV	925519	930498	YOR326W	.	+	925519	930498	0	1	4979	925510	Q2
VI	149077	149795	YFR001W	.	+	149077	149795	0	1	718	149076	Q2
XVI	464364	465768	YPL048W	.	+	464364	465768	0	1	1404	464360	Q2
XII	956582	958166	YLR418C	.	-	956582	958166	0	1	1584	956573	Q2
III	117314	118403	YCR002C	.	-	117314	118403	0	1	1089	117313	Q2
IX	56531	57277	YIL152W	.	+	56531	57277	0	1	746	56526	Q2
XVI	39073	40144	YPL266W	.	+	39073	40144	0	1	1071	39070	Q2
XII	634202	636216	YLR248W	.	+	634202	636216	0	1	2014	634196	Q2
XIII	469728	472682	YMR102C	.	-	469728	472682	0	1	2954	469724	Q2
XIII	383088	386093	YMR054W	.	+	383088	386093	0	1	3005	383085	Q2
VIII	340906	342287	YHR116W	.	+	340906	342287	0	1	1381	340903	Q2
VIII	218939	219928	YHR058C	.	-	218939	219928	0	1	989	218937	Q2
VIII	299002	302014	YHR098C	.	-	299002	302014	0	1	3012	299000	Q2
XVI	813066	814116	YPR139C	.	-	813066	814116	0	1	1050	813058	Q2
III	101189	101822	YCL012C	.	-	101189	101822	0	1	633	101188	Q2
XV	424007	424620	YOR050C	.	-	424007	424620	0	1	613	424003	Q2
IX	140494	141635	YIL117C	.	-	140494	141635	0	1	1141	140493	Q2
XIII	715553	716349	YMR222C	.	-	715553	716349	0	1	796	715546	Q2
III	206094	206677	YCR043C	.	-	206094	206677	0	1	583	206092	Q2
X	697124	698274	YJR142W	.	+	697124	698274	0	1	1150	697118	Q2
XI	255615	256547	YKL099C	.	-	255615	256547	0	1	932	255613	Q2
XI	271872	273374	YKL090W	.	+	271872	273374	0	1	1502	271870	Q2
XV	207341	210338	YOL063C	.	-	207341	210338	0	1	2997	207339	Q2
XII	275237	278648	YLR071C	.	-	275237	278648	0	1	3411	275235	Q2
VII	417460	418634	YGL043W	.	+	417460	418634	0	1	1174	417456	Q2
II	185940	186505	YBL018C	.	-	185940	186505	0	1	565	185939	Q2
III	68352	69971	YCL029C	.	-	68352	69971	0	1	1619	68346	Q2
IV	1250134	1251755	YDR388W	.	+	1250134	1251755	0	1	1621	1250133	Q2
V	226103	228262	YER038C	.	-	226103	228262	0	1	2159	226101	Q2
XIV	338029	339368	YNL159C	.	-	338029	339368	0	1	1339	338026	Q2
XVI	331970	335776	YPL115C	.	-	331970	335776	0	1	3806	331967	Q2
IV	954252	955101	YDR246W	.	+	954252	955101	0	1	849	954243	Q2
XI	25172	26448	YKL216W	.	+	25172	26448	0	1	1276	25170	Q2
XI	407369	408060	YKL016C	.	-	407369	408060	0	1	691	407365	Q2
XIII	861849	863628	YMR297W	.	+	861849	863628	0	1	1779	861841	Q2
VII	461596	465066	YGL016W	.	+	461596	465066	0	1	3470	461592	Q2
XV	54521	55142	YOL143C	.	-	54521	55142	0	1	621	54516	Q2
XV	326800	329109	YOR001W	.	+	326800	329109	0	1	2309	326797	Q2
XI	440483	442757	YKR001C	.	-	440483	442757	0	1	2274	440479	Q2
II	618809	620431	YBR199W	.	+	618809	620431	0	1	1622	618803	Q2
II	158588	159721	YBL033C	.	-	158588	159721	0	1	1133	158587	Q2
XI	167460	168849	YKL149C	.	-	167460	168849	0	1	1389	167459	Q2
IV	1055158	1055979	YDR296W	.	+	1055158	1055979	0	1	821	1055157	Q2
V	29468	31268	YEL064C	.	-	29468	31268	0	1	1800	29466	Q2
II	539948	541116	YBR149W	.	+	539948	541116	0	1	1168	539943	Q2
IV	135763	137583	YDL180W	.	+	135763	137583	0	1	1820	135762	Q2
IV	814416	816612	YDR176W	.	+	814416	816612	0	1	2196	814408	Q2
XII	878188	879643	YLR380W	.	+	878188	879643	0	1	1455	878180	Q2
V	188256	189424	YER016W	.	+	188256	189424	0	1	1168	188255	Q2
XV	205995	207208	YOL064C	.	-	205995	207208	0	1	1213	205993	Q2
XIV	325197	326485	YNL164C	.	-	325197	326485	0	1	1288	325194	Q2
XV	1010115	1011179	YOR358W	.	+	1010115	1011179	0	1	1064	1010114	Q2
XV	1007193	1009230	YOR356W	.	+	1007193	1009230	0	1	2037	1007192	Q2
X	88729	89249	YJL179W	.	+	88729	89249	0	1	520	88721	Q2
V	201050	202005	YER023W	.	+	201050	202005	0	1	955	201048	Q2
XV	147343	150358	YOL090W	.	+	147343	150358	0	1	3015	147342	Q2
VI	239058	239858	YFR043C	.	-	239058	239858	0	1	800	239056	Q2
VI	83988	87297	YFL025C	.	-	83988	87297	0	1	3309	83980	Q2
IV	192558	194247	YDL146W	.	+	192558	194247	0	1	1689	192557	Q2
XVI	474914	475761	YPL041C	.	-	474914	475761	0	1	847	474910	Q2
IV	946699	948551	YDR242W	.	+	946699	948551	0	1	1852	946690	Q2
VIII	54792	55952	YHL025W	.	+	54792	55952	0	1	1160	54787	Q2
XII	234894	237722	YLR045C	.	-	234894	237722	0	1	2828	234892	Q2
II	356152	356625	YBR058C-A	.	-	356152	356625	0	1	473	356149	Q2
XV	662333	663714	YOR176W	.	+	662333	663714	0	1	1381	662327	Q2
XII	899435	902660	YLR389C	.	-	899435	902660	0	1	3225	899427	Q2
XIII	448473	449971	YMR090W	.	+	448473	449971	0	1	1498	448469	Q2
X	467469	468644	YJR020W	.	+	467469	468644	0	1	1175	467465	Q2
X	572231	572959	YJR073C	.	-	572231	572959	0	1	728	572226	Q2
X	672900	673726	YJR133W	.	+	672900	673726	0	1	826	672894	Q2
IV	607268	610168	YDR081C	.	-	607268	610168	0	1	2900	607262	Q2
XV	333547	334497	YOR004W	.	+	333547	334497	0	1	950	333544	Q2
II	294381	296083	YBR028C	.	-	294381	296083	0	1	1702	294379	Q2
IV	1339588	1340819	YDR439W	.	+	1339588	1340819	0	1	1231	1339587	Q2
IV	574108	575893	YDR061W	.	+	574108	575893	0	1	1785	574103	Q2
II	267567	269631	YBR015C	.	-	267567	269631	0	1	2064	267565	Q2
X	689374	690588	YJR139C	.	-	689374	690588	0	1	1214	689368	Q2
XIII	321867	323176	YMR024W	.	+	321867	323176	0	1	1309	321864	Q2
XII	337381	339485	YLR098C	.	-	337381	339485	0	1	2104	337378	Q2
IV	1052541	1054910	YDR295C	.	-	1052541	1054910	0	1	2369	1052540	Q2
V	213931	214781	YER031C	.	-	213931	214781	0	1	850	213929	Q2
VII	909086	910210	YGR205W	.	+	909086	910210	0	1	1124	909077	Q2
XIV	595470	597667	YNL020C	.	-	595470	597667	0	1	2197	595465	Q2
IX	221027	222524	YIL074C	.	-	221027	222524	0	1	1497	221025	Q2
XVI	167704	169419	YPL202C	.	-	167704	169419	0	1	1715	167703	Q2
VII	718830	720150	YGR113W	.	+	718830	720150	0	1	1320	718823	Q2
IV	1176044	1178202	YDR350C	.	-	1176044	1178202	0	1	2158	1176043	Q2
XVI	733231	736709	YPR104C	.	-	733231	736709	0	1	3478	733224	Q2
X	557660	559184	YJR065C	.	-	557660	559184	0	1	1524	557655	Q2
IV	1454829	1455928	YDR503C	.	-	1454829	1455928	0	1	1099	1454828	Q2
XV	99677	101254	YOL116W	.	+	99677	101254	0	1	1577	99668	Q2
X	460341	461687	YJR013W	.	+	460341	461687	0	1	1346	460337	Q2
IV	1056519	1057770	YDR297W	.	+	1056519	1057770	0	1	1251	1056518	Q2
XIV	22790	23282	YNL328C	.	-	22790	23282	0	1	492	22788	Q2
VII	833269	834523	YGR168C	.	-	833269	834523	0	1	1254	833261	Q2
XII	51979	52639	YLL042C	.	-	51979	52639	0	1	660	51974	Q2
XI	374428	375285	YKL033W-A	.	+	374428	375285	0	1	857	374425	Q2
XV	1061525	1064681	YOR384W	.	+	1061525	1064681	0	1	3156	1061524	Q2
III	238907	240132	YCR069W	.	+	238907	240132	0	1	1225	238905	Q2
XIII	404200	405600	YMR067C	.	-	404200	405600	0	1	1400	404196	Q2
II	685359	686638	YBR234C	.	-	685359	686638	0	1	1279	685353	Q2
XII	514013	514790	YLR179C	.	-	514013	514790	0	1	777	514008	Q2
XI	604331	605431	YKR088C	.	-	604331	605431	0	1	1100	604325	Q2
XVI	48735	49543	YPL261C	.	-	48735	49543	0	1	808	48731	Q2
XIII	560107	560977	YMR148W	.	+	560107	560977	0	1	870	560102	Q2
II	379177	379955	YBR070C	.	-	379177	379955	0	1	778	379174	Q2
IV	786203	789270	YDR166C	.	-	786203	789270	0	1	3067	786196	Q2
XIV	441301	441607	YNL097W-A	.	+	441301	441607	0	1	306	441297	Q2
XVI	361818	363408	YPL100W	.	+	361818	363408	0	1	1590	361815	Q2
II	244272	245683	YBR004C	.	-	244272	245683	0	1	1411	244270	Q2
XV	1001030	1003250	YOR354C	.	-	1001030	1003250	0	1	2220	1001029	Q2
IV	1037188	1038155	YDR288W	.	+	1037188	1038155	0	1	967	1037187	Q2
VII	526839	527393	YGR020C	.	-	526839	527393	0	1	554	526834	Q2
XIII	459373	460550	YMR097C	.	-	459373	460550	0	1	1177	459369	Q2
V	484764	487232	YER157W	.	+	484764	487232	0	1	2468	484760	Q2
IV	553216	555310	YDR049W	.	+	553216	555310	0	1	2094	553211	Q2
XVI	118238	120238	YPL228W	.	+	118238	120238	0	1	2000	118237	Q2
V	502957	503790	YER163C	.	-	502957	503790	0	1	833	502952	Q2
II	49509	51016	YBL089W	.	+	49509	51016	0	1	1507	49505	Q2
IV	375369	376518	YDL043C	.	-	375369	376518	0	1	1149	375366	Q2
VII	385154	388792	YGL062W	.	+	385154	388792	0	1	3638	385151	Q2
IV	86010	87248	YDL209C	.	-	86010	87248	0	1	1238	86002	Q2
XIV	368375	370149	YNL137C	.	-	368375	370149	0	1	1774	368372	Q2
XVI	292650	296684	YPL137C	.	-	292650	296684	0	1	4034	292648	Q2
VII	560543	561488	YGR038W	.	+	560543	561488	0	1	945	560538	Q2
IV	364817	365950	YDL049C	.	-	364817	365950	0	1	1133	364814	Q2
IV	910017	911452	YDR222W	.	+	910017	911452	0	1	1435	910008	Q2
XIV	244397	245495	YNL215W	.	+	244397	245495	0	1	1098	244395	Q2
XII	861549	862294	YLR370C	.	-	861549	862294	0	1	745	861541	Q2
IV	905254	906894	YDR219C	.	-	905254	906894	0	1	1640	905245	Q2
IV	145733	147617	YDL174C	.	-	145733	147617	0	1	1884	145732	Q2
VIII	251055	252364	YHR076W	.	+	251055	252364	0	1	1309	251053	Q2
XI	320843	321684	YKL063C	.	-	320843	321684	0	1	841	320840	Q2
XV	837673	839236	YOR274W	.	+	837673	839236	0	1	1563	837665	Q2
XV	1031404	1034301	YOR371C	.	-	1031404	1034301	0	1	2897	1031403	Q2
XII	121677	124956	YLL013C	.	-	121677	124956	0	1	3279	121676	Q2
XV	906093	907706	YOR316C	.	-	906093	907706	0	1	1613	906084	Q2
II	360594	362606	YBR060C	.	-	360594	362606	0	1	2012	360591	Q2
XIII	854764	855394	YMR292W	.	+	854764	855394	0	1	630	854756	Q2
XI	269622	270686	YKL091C	.	-	269622	270686	0	1	1064	269620	Q2
XV	238576	240205	YOL049W	.	+	238576	240205	0	1	1629	238574	Q2
X	640716	641828	YJR116W	.	+	640716	641828	0	1	1112	640710	Q2
IX	350272	350600	YIL002W-A	.	+	350272	350600	0	1	328	350269	Q2
III	170163	172542	YCR028C	.	-	170163	172542	0	1	2379	170162	Q2
IV	676063	677985	YDR110W	.	+	676063	677985	0	1	1922	676057	Q2
II	741280	741713	YBR268W	.	+	741280	741713	0	1	433	741273	Q2
V	420902	422513	YER130C	.	-	420902	422513	0	1	1611	420898	Q2
IV	1471466	1473060	YDR514C	.	-	1471466	1473060	0	1	1594	1471465	Q2
II	151446	153691	YBL035C	.	-	151446	153691	0	1	2245	151445	Q2
II	289331	290352	YBR024W	.	+	289331	290352	0	1	1021	289329	Q2
XI	264722	265964	YKL093W	.	+	264722	265964	0	1	1242	264720	Q2
XI	510743	511816	YKR037C	.	-	510743	511816	0	1	1073	510738	Q2
